P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa,pm1Palas,pm2_5Palas,pm4Palas,pm10Palas,pmTotalPalas,dCnPalas
0,0.0,0.62,15148,0.1,53.1,18.11,98893,80,7.43,9.1,11.2033333333333,13.3633333333333,15.1533333333333,190.123333333333
25042,0.17,87.33,139643,0.93,482.31,18.12,98895,79,7.43,9.1,11.21,13.3666666666667,15.1533333333333,190.146666666667
0,0.0,0.62,55690,0.37,193.21,18.12,98896,79,7.43,9.1,11.21,13.36,15.1466666666667,190.163333333333
0,0.0,0.62,188987,1.26,651.94,18.14,98903,79,7.43,9.1,11.21,13.36,15.14,190.156666666667
20577,0.14,71.88,332681,2.22,1147.22,18.14,98896,80,7.43,9.11,11.22,13.3633333333333,15.1433333333333,190.18
0,0.0,0.62,77107,0.51,267.07,18.21,98900,79,7.44,9.11666666666667,11.23,13.5133333333333,15.6966666666667,190.196666666667
0,0.0,0.62,31813,0.21,110.74,18.25,98907,79,7.44,9.11666666666667,11.2266666666667,13.51,15.69,190.223333333333
0,0.0,0.62,42893,0.29,149.03,18.29,98913,79,7.43666666666667,9.11666666666667,11.23,13.5066666666667,15.6833333333333,190.196666666667
0,0.0,0.62,36635,0.24,127.41,18.28,98905,79,7.43,9.11333333333333,11.23,13.51,15.68,190.173333333333
96337,0.64,333.31,492492,3.28,1705.89,18.37,98913,79,7.44,9.12,11.23,13.5433333333333,15.8466666666667,190.2
107222,0.71,370.78,557552,3.72,1937.46,18.41,98909,78,7.44,9.12333333333333,11.24,13.6466666666667,16.2133333333333,190.196666666667
0,0.0,0.62,100826,0.67,348.77,18.39,98911,78,7.44,9.13,11.25,13.6566666666667,16.2233333333333,190.2
0,0.0,0.62,24787,0.17,86.45,18.3,98913,79,7.44,9.12333333333333,11.25,13.6533333333333,16.2133333333333,190.2
0,0.0,0.62,57323,0.38,198.85,18.31,98911,79,7.44,9.12333333333333,11.2433333333333,13.65,16.2,190.2
0,0.0,0.62,88335,0.59,305.75,18.36,98913,79,7.44,9.13333333333333,11.2666666666667,13.6666666666667,16.2166666666667,190.21
24271,0.16,84.66,225283,1.5,776.76,18.39,98914,79,7.44,9.13666666666667,11.2633333333333,13.67,16.22,190.23
0,0.0,0.62,175093,1.17,604.18,18.44,98911,79,7.44,9.14,11.2766666666667,13.6866666666667,16.24,190.216666666667
0,0.0,0.62,125290,0.84,432.95,18.49,98910,78,7.44,9.14,11.28,13.6866666666667,16.2366666666667,190.226666666667
0,0.0,0.62,370910,2.47,1279.84,18.57,98911,78,7.45,9.14,11.28,13.68,16.2233333333333,190.243333333333
